"author","authorIsChannelOwner","channelId","channelName","channelUrl","channelUsername","cid","comment","comments","commentsCount","commentsTurnedOff","date","descriptionLinks/0/text","descriptionLinks/0/url","descriptionLinks/1/text","descriptionLinks/1/url","descriptionLinks/2/text","descriptionLinks/2/url","descriptionLinks/3/text","descriptionLinks/3/url","duration","hasCreatorHeart","hashtags/0","hashtags/1","hashtags/2","id","input","isMonetized","likes","location","numberOfSubscribers","pageUrl","publishedTimeText","replyCount","replyToCid","subtitles","text","thumbnailUrl","title","type","url","videoId","viewCount","voteCount"
"@ahmedjutt5132","false",,,,,"UgzC1-oqfH5xkx-mL0p4AaABAg","i tell you man i like your these type of video",,"14",,,,,,,,,,,,"true",,,,,,,,,,"https://www.youtube.com/watch?v=Dwadx3Andi8","8 months ago","1",,,,,"Mind-Blowing Tech of July 2024  - EP#93 - Latest Gadgets You Must See!","comment",,"Dwadx3Andi8",,"3"
"@rctechtime","false",,,,,"UgzaiMKPyZuqqNsWp314AaABAg","The tribit stormbox 2 is great I own it.  I recommend as well.",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=Dwadx3Andi8","8 months ago","1",,,,,"Mind-Blowing Tech of July 2024  - EP#93 - Latest Gadgets You Must See!","comment",,"Dwadx3Andi8",,"0"
"@patrickcadette","false",,,,,"UgzAIxAHUsD2hnutUat4AaABAg","Truly awesome...greatly appreciated chigz...😁😁😁👍👍👍❤️❤️❤️..happy dance.....",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=Dwadx3Andi8","8 months ago","1",,,,,"Mind-Blowing Tech of July 2024  - EP#93 - Latest Gadgets You Must See!","comment",,"Dwadx3Andi8",,"1"
"@29karandeepsingh67","false",,,,,"UgwftDsgbR4FesG8sHZ4AaABAg","shub music:face-blue-smiling:",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=Dwadx3Andi8","8 months ago","0",,,,,"Mind-Blowing Tech of July 2024  - EP#93 - Latest Gadgets You Must See!","comment",,"Dwadx3Andi8",,"0"
"@nicholaslim3494","false",,,,,"UgzCWcqKeTgAMj7FFRN4AaABAg","Do you mean flip 6? because you mentioned charge 6 in the video",,"2",,,,,,,,,,,,"true",,,,,,,,,,"https://www.youtube.com/watch?v=9G2gBwTTZqI","5 months ago (edited)","1",,,,,"The TRIBIT StormBox 2 Is The ONLY Travel Speaker You Need","comment",,"9G2gBwTTZqI",,"1"
"@Gabrielleopardo2012","false",,,,,"UgzFSjth0hB8kMFOin54AaABAg","Fantastico, stupendo, spettacolare🎉🎉🎉🎉
Videooo",,"25",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=67GySjz9RPU&t=71s","9 months ago","0",,,,,"TRIBIT STORMBOX 2 - THE SMALLEST AND POWERFUL BLUETOOTH SPEAKER - FULL TEST","comment",,"67GySjz9RPU",,"1"
"@MrCrazyboyzoffi","false",,,,,"UgwIxaH6Oer89lb72ix4AaABAg","Oggi ho avuto una giornata dura e questo mi ha completamente rilassato!",,"25",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=67GySjz9RPU&t=71s","9 months ago","0",,,,,"TRIBIT STORMBOX 2 - THE SMALLEST AND POWERFUL BLUETOOTH SPEAKER - FULL TEST","comment",,"67GySjz9RPU",,"0"
"@sataragaming2007","false",,,,,"UgwsgZcVy5f1cyDj_rF4AaABAg","Video fantastico! Mi sono appena iscritto e non vedo l'ora di guardare più contenuti.",,"25",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=67GySjz9RPU&t=71s","9 months ago","0",,,,,"TRIBIT STORMBOX 2 - THE SMALLEST AND POWERFUL BLUETOOTH SPEAKER - FULL TEST","comment",,"67GySjz9RPU",,"0"
"@DipakJi-kj2ku","false",,,,,"UgxufvZY24lXBiklXeB4AaABAg","Questo è uno dei migliori video che abbia mai visto.",,"25",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=67GySjz9RPU&t=71s","9 months ago","0",,,,,"TRIBIT STORMBOX 2 - THE SMALLEST AND POWERFUL BLUETOOTH SPEAKER - FULL TEST","comment",,"67GySjz9RPU",,"0"
"@WaniShameem-el3cb","false",,,,,"UgyMztibGb-HWqyNntx4AaABAg","Davvero non ho parole. Solo questo: incredibilmente buono!",,"25",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=67GySjz9RPU&t=71s","9 months ago","0",,,,,"TRIBIT STORMBOX 2 - THE SMALLEST AND POWERFUL BLUETOOTH SPEAKER - FULL TEST","comment",,"67GySjz9RPU",,"0"
